question_id,question,question_type,target_company,target_stock_code,target_year,reference_answer,evidence_pages,evidence_text,difficulty
CATL2024_Q01,宁德时代2024年的营业收入是多少？,financial_fact,宁德时代新能源科技股份有限公司,300750,2024,营业收入362012554000元同比下降9.70%,9|19|111|119|196,营业收入（千元）362012554；较上年下降9.70%,easy
CATL2024_Q02,宁德时代2024年归母净利润及同比变化是多少？,financial_fact,宁德时代新能源科技股份有限公司,300750,2024,归母净利润50744682000元同比增长15.01%,9|120|196,归属于上市公司股东的净利润（千元）50744682；同比15.01%,easy
CATL2024_Q03,宁德时代2024年经营活动产生的现金流量净额是多少？同比如何变化？,cash_flow,宁德时代新能源科技股份有限公司,300750,2024,经营活动产生的现金流量净额96990345000元同比增长4.49%,9|25|123|202,经营活动产生的现金流量净额（千元）96990345；同比4.49%,medium
CATL2024_Q04,宁德时代2024年的研发费用是多少？同比增长多少？,research_and_development,宁德时代新能源科技股份有限公司,300750,2024,研发费用18606756000元同比增长1.37%,24|119,研发费用（千元）18606756；上年18356108；同比1.37%,easy
CATL2024_Q05,宁德时代2024年动力电池系统收入是多少？占营业收入比重和同比变化分别是多少？,business_segment,宁德时代新能源科技股份有限公司,300750,2024,动力电池系统收入253041337000元占营业收入69.90%同比下降11.29%,19,动力电池系统收入（千元）253041337；占营业收入69.90%；同比-11.29%,medium
CATL2024_Q06,宁德时代2024年储能电池系统的营业收入和毛利率分别是多少？,business_segment,宁德时代新能源科技股份有限公司,300750,2024,储能电池系统营业收入57290460000元毛利率26.84%,20,储能电池系统营业收入（千元）57290460；营业成本41914003；毛利率26.84%,medium
CATL2024_Q07,宁德时代2024年境外收入是多少？占营业收入的比重是多少？,geographic_revenue,宁德时代新能源科技股份有限公司,300750,2024,境外收入110335509000元占营业收入30.48%,19,境外收入（千元）110335509；占本期营业收入30.48%,medium
CATL2024_Q08,宁德时代2024年电池系统销售量是多少？同比增长多少？,operating_metric,宁德时代新能源科技股份有限公司,300750,2024,电池系统销售量475GWh同比增长21.79%,21,电池系统销售量475GWh；2023年390GWh；同比21.79%,easy
CATL2024_Q09,宁德时代2024年电池系统产能、在建产能、产能利用率和产量分别是多少？,operating_metric,宁德时代新能源科技股份有限公司,300750,2024,电池系统产能676GWh在建产能219GWh产能利用率76.33%产量516GWh,21,电池系统产能676GWh；在建产能219GWh；产能利用率76.33%；产量516GWh,hard
CATL2024_Q10,根据SNE Research数据宁德时代2024年全球动力电池市占率是多少？,industry_position,宁德时代新能源科技股份有限公司,300750,2024,全球动力电池市占率37.9%且连续8年使用量排名全球第一,12,2017至2024年连续8年动力电池使用量排名全球第一；2024年全球市占率37.9%,medium
CATL2024_Q11,根据SNE Research数据宁德时代2024年全球储能电池市占率是多少？,industry_position,宁德时代新能源科技股份有限公司,300750,2024,全球储能电池市占率36.5%且连续4年出货量排名全球第一,12,2021至2024年连续4年储能电池出货量排名全球第一；2024年全球市占率36.5%,medium
CATL2024_Q12,截至2024年末宁德时代拥有多少项专利及专利申请？境内和境外分别多少项？,research_and_development,宁德时代新能源科技股份有限公司,300750,2024,专利及专利申请合计43354项其中境内25439项境外17915项,16,专利及专利申请合计43354项；境内25439项；境外17915项,medium
CATL2024_Q13,宁德时代2024年度利润分配预案计划派发多少现金分红？每10股派发多少？,dividend,宁德时代新能源科技股份有限公司,300750,2024,现金分红总额19975746623.17元每10股派发45.53元含税,3|59|220,年度现金分红及特别现金分红合计19975746623.17元；每10股派发45.53元含税,medium
CATL2024_Q14,宁德时代2024年末合并口径货币资金余额是多少？,balance_sheet,宁德时代新能源科技股份有限公司,300750,2024,合并口径货币资金期末余额303511993000元,26|114,合并资产负债表货币资金期末余额（千元）303511993,medium
CATL2024_Q15,宁德时代2024年末合并口径存货账面价值是多少？,balance_sheet,宁德时代新能源科技股份有限公司,300750,2024,合并口径存货期末账面价值59835533000元,26|114,合并资产负债表存货期末余额（千元）59835533,medium
