question_id,question,question_type,target_company,target_stock_code,target_year,reference_answer,evidence_pages,evidence_text,difficulty
BYD2024_Q01,比亚迪2024年的营业收入是多少？,financial_fact,比亚迪股份有限公司,002594,2024,777102455000元,10|24|145,营业收入（元）777102455000.00,easy
BYD2024_Q02,比亚迪2024年归母净利润同比变化如何？,financial_fact,比亚迪股份有限公司,002594,2024,归母净利润40254346000元同比增长34.00%,11|145,归属于上市公司股东的净利润（元）40254346000.00同比34.00%,medium
BYD2024_Q03,公司2024年度拟如何向股东分红？,governance_fact,比亚迪股份有限公司,002594,2024,每10股派发现金红利39.74元含税不送红股且不以公积金转增股本,5|269,向全体股东每10股派发现金红利39.74元（含税）送红股0股不以公积金转增股本,medium
BYD2024_Q04,比亚迪2024年整车销量及同比增幅是多少？,business_fact,比亚迪股份有限公司,002594,2024,整车销量4272145辆同比增长41.26%,22|23,整车快报销量合计4272145辆较上年同期增长41.26%,medium
BYD2024_Q05,公司2024年投入了多少研发资金，占营收比例是多少？,rd_fact,比亚迪股份有限公司,002594,2024,研发投入54160964000元占营业收入6.97%,34,研发投入金额（元）54160964000.00研发投入占营业收入比例6.97%,medium
BYD2024_Q06,比亚迪有多少研发人员，研发人员占员工比例多少？,rd_fact,比亚迪股份有限公司,002594,2024,研发人员121598人占比12.55%,33|34,研发人员数量（人）121598研发人员数量占比12.55%,medium
BYD2024_Q07,前五大客户贡献了多少销售额，占年度销售额比例多少？,customer_fact,比亚迪股份有限公司,002594,2024,前五名客户销售额142613553000元占年度销售总额18.35%,26|27,前五名客户合计销售金额（元）142613553000.00占年度销售总额比例18.35%,hard
BYD2024_Q08,比亚迪2024年境外收入是多少，占总收入多少？,business_fact,比亚迪股份有限公司,002594,2024,境外收入221884773000元占营业收入28.55%,24|25,境外收入221884773000.00占营业收入比重28.55%,hard
BYD2024_Q09,公司2024年末一共有多少名在职员工？,workforce_fact,比亚迪股份有限公司,002594,2024,报告期末在职员工968872人,66,报告期末在职员工的数量合计（人）968872,easy
BYD2024_Q10,审计机构对比亚迪2024年财务报表出具了什么意见？,audit_fact,比亚迪股份有限公司,002594,2024,标准无保留意见,136,审计意见类型标准的无保留意见,medium
BYD2024_Q11,比亚迪2024年末合并口径存货账面价值是多少？,balance_sheet_fact,比亚迪股份有限公司,002594,2024,存货账面价值116036237000元,35|142|196,合并口径存货账面价值116036237千元,medium
BYD2024_Q12,汽车相关业务和手机部件业务分别贡献了多少收入？,segment_fact,比亚迪股份有限公司,002594,2024,汽车相关业务收入617381935000元手机部件业务收入159608576000元,3|24|25,汽车、汽车相关产品及其他产品业务收入617381935000.00元手机部件、组装及其他产品业务收入159608576000.00元,hard
BYD2024_Q13,2024年与日常活动相关的政府补助金额是多少？,financial_note_fact,比亚迪股份有限公司,002594,2024,10406200000元,232,与日常活动相关的政府补助10406200千元,hard
BYD2024_Q14,2024年末公司为子公司实际提供的担保金额是多少？,contingency_fact,比亚迪股份有限公司,002594,2024,37826863000元,268,本公司为其子公司实际提供的担保为人民币37826863千元,hard
BYD2024_Q15,2024年经营活动产生的现金流量净额同比下降多少？,cashflow_fact,比亚迪股份有限公司,002594,2024,经营活动现金流量净额133453873000元同比下降21.37%,11|34|149|239,经营活动产生的现金流量净额133453873000.00元同比下降21.37%,hard
